,統一編號,商業名稱,商業地址,登記狀態,Type
21338,13858575,八集鍋貼店,臺北市松山區八德路3段221號,核准設立,餐廳餐館
21339,13858603,牛董牛肉麵食坊,臺北市北投區西安街1段369號1樓,核准設立,餐廳餐館
21341,13858673,欣雅冰品店,臺北市信義區永吉路278巷19號,核准設立,餐廳餐館
21345,13858765,南台灣小吃店,臺北市南港區玉成街138號1樓,核准設立,餐廳餐館
21353,13859363,香天下牛肉麵店,臺北市北投區知行路317號,核准設立,餐廳餐館
23063,14310131,親來商行,臺北市大安區和平東路2段118巷52弄14號1樓,核准設立,餐廳餐館
23096,14312638,小愉村平價快炒店,臺北市中正區中華路2段311巷19號,核准設立,餐廳餐館
23111,14313741,歐式吃吃看美食名坊,臺北市士林區中山北路6段772號1樓及2樓,核准設立,餐廳餐館
23117,14313974,甘家小吃店,臺北市內湖區康寧路3段189巷4號,核准設立,餐廳餐館
23134,14315207,利旺工商服務社,臺北市中正區南昌路1段59巷15號,核准設立,餐廳餐館
23142,14316120,一家川菜小館,臺北市中正區中華路2段305巷15號1樓,核准設立,餐廳餐館
23169,14317444,張大媽小吃店,臺北市松山區市民大道5段125號1樓,核准設立,餐廳餐館
23176,14317824,加味小吃店,臺北市松山區北寧路8號1樓,核准設立,餐廳餐館
23183,14318703,四芳小吃店,臺北市中山區一江街31號1樓,核准設立,餐廳餐館
23194,14319652,佶利飲食坊,臺北市北投區中和街431號1樓,核准設立,餐廳餐館
23236,14322214,韓江館小吃店,臺北市中正區羅斯福路3段316巷9弄6號1樓,核准設立,餐廳餐館
23277,14324851,永續咖啡館,臺北市大安區忠孝東路4段170巷6弄5號2樓,核准設立,餐廳餐館
23286,14325465,米可企業社,臺北市內湖區環山路2段125號,核准設立,餐廳餐館
23324,14328364,第一劇場魚丸店,臺北市松山區八德路4段96號1樓,核准設立,餐廳餐館
23360,14331071,泰雅軒舍,臺北市內湖區內湖路1段437巷18號,核准設立,餐廳餐館
23364,14331190,鋒典小吃店,臺北市中山區新生北路1段168號1樓,核准設立,餐廳餐館
23367,14331298,千翔美食餐坊,臺北市中山區吉林路176之1號1樓,核准設立,餐廳餐館
23402,14333845,壯圖早餐店,臺北市中山區遼寧街261號1樓,核准設立,餐廳餐館
23404,14333937,村笠自助餐店,臺北市南港區研究院路2段45號1樓,核准設立,餐廳餐館
23407,14334181,皆大歡喜素食店,臺北市中山區民生東路2段135號1樓,核准設立,餐廳餐館
23414,14334632,東方美早餐店,臺北市內湖區康樂街147號1樓,核准設立,餐廳餐館
23428,14335533,秀羽素食自助餐店,臺北市內湖區港墘路41號,核准設立,餐廳餐館
23435,14335822,馥記小吃店,臺北市士林區德行西路60之1號1樓,核准設立,餐廳餐館
23465,14337912,韓華屋小吃店,臺北市中正區南昌路1段96號1樓,核准設立,餐廳餐館
23494,14340509,村亭小吃店,臺北市中山區中山北路1段105巷11號2樓,核准設立,餐廳餐館
23544,14345011,北倉洞小吃店,臺北市中山區長安東路2段169之7號,核准設立,餐廳餐館
23557,14345574,祥龍自助餐店,臺北市中山區民生西路45巷3弄21號1樓,核准設立,餐廳餐館
23564,14346200,華珍燒臘快餐店,臺北市內湖區民權東路6段56巷33號,核准設立,餐廳餐館
23575,14347290,麵皮厚小吃店,臺北市文山區興隆路2段42號1樓,核准設立,餐廳餐館
25335,14713492,容盈商行,臺北市松山區八德路4段53號1樓,核准設立,餐廳餐館
25345,14714513,大鑼鼓餐飲店,臺北市中正區中華路2段307巷7號,核准設立,餐廳餐館
25375,14716224,雲集小吃店,臺北市內湖區民權東路6段76號,核准設立,餐廳餐館
25400,14718308,福生園韓式快餐店,臺北市中山區興安街53之2號,核准設立,餐廳餐館
25444,14721388,心頌餐坊,臺北市中正區懷寧街35號3樓,核准設立,餐廳餐館
25451,14721802,興發廣東燒腊店,臺北市萬華區西藏路115巷6弄7號1樓,核准設立,餐廳餐館
25461,14722252,侃忞速食店,臺北市中山區大直街46巷1號1樓,核准設立,餐廳餐館
25469,14723029,社正小吃店,臺北市士林區社正路38號1樓,核准設立,餐廳餐館
25474,14723457,宇棟鵝肉擔小吃店,臺北市北投區明德路313號1樓,核准設立,餐廳餐館
25478,14724152,旻旭小吃店,臺北市中山區中山北路2段36巷3號,核准設立,餐廳餐館
